Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,group
prerank,Myc Targets V1,-0.7340892913377028,-3.5996231070413396,0.0,0.0,0.0,92/139,15.78%,HSPD1;HSP90AB1;CBX3;HSPE1;MYC;EPRS1;VDAC1;CCT4;TCP1;NME1;EIF4A1;CTPS1;SRM;VBP1;XPOT;SRPK1;C1QBP;NDUFAB1;SNRPB2;EIF3J;PSMD14;CCT5;ODC1;EIF3D;TUFM;SERBP1;ILF2;PSMA1;PSMA4;HNRNPA2B1;MAD2L1;PSMD1;NOLC1;IARS1;PSMD7;EIF2S2;PA2G4;GOT2;HNRNPC;SNRPG;PSMD3;IMPDH2;ABCE1;EIF4G2;IFRD1;CANX;UBA2;VDAC3;COPS5;SNRPD2;GLO1;EEF1B2;TOMM70;H2AZ1;SET;TXNL4A;EXOSC7;PSMC6;CDC45;CDK4;EIF4E;SNRPA;GSPT1;MCM6;SLC25A3;RNPS1;RRP9;PABPC4;PPM1G;TFDP1;RFC4;CNBP;HDDC2;PSMA2;AIMP2;PSMA7;CDC20;PGK1;SNRPA1;RAD23B;ERH;CCNA2;DUT;CAD;SRSF2;RRM1;ACP1;HNRNPD;MCM4;PSMB2;HPRT1;PSMD8,top_efficacy
prerank,mTORC1 Signaling,-0.5950971312278388,-2.9685594960301294,0.0,0.0,0.0,90/176,15.07%,SLC1A5;PSAT1;HSPD1;WARS1;SLC7A11;MTHFD2;NAMPT;TRIB3;PSMG1;IMMT;HSPE1;PSMA3;CTH;CCT6A;EPRS1;PSPH;SLC7A5;EDEM1;TXNRD1;UCHL5;RRM2;PRDX1;PSMD14;LGMN;HSPA9;PSMC2;PSMA4;ARPC5L;SERP1;PHGDH;PNO1;ATP2A2;EIF2S2;EEF1E1;UBE2D3;SCD;SHMT2;CYP51A1;DDX39A;CORO1A;PPP1R15A;TOMM40;UFM1;HSPA4;EBP;GOT1;SSR1;HK2;DDIT4;ENO1;IFRD1;ACLY;CANX;PSMB5;AURKA;COPS5;HMBS;DDIT3;STARD4;PSMC6;FADS1;ACACA;PSMD12;P4HA1;POLR3G;RRP9;GSR;NUP205;ACSL3;HSPA5;PLK1;NFKBIB;GCLC;YKT6;CYB5B;FADS2;PGK1;USO1;INSIG1;ACTR3;AK4;ELOVL6;ABCF2;DHCR24;NMT1;TES;PSME3;VLDLR;MCM4;LTA4H,top_efficacy
prerank,Unfolded Protein Response,-0.6553242984819617,-2.953628376368696,0.0,0.0,0.0,40/88,10.79%,PSAT1;MTHFD2;CHAC1;EIF4EBP1;EIF4A1;XPOT;SLC7A5;ATF4;EDEM1;SRPRB;HSPA9;CEBPG;VEGFA;PDIA5;SERP1;NOLC1;IARS1;STC2;PDIA6;ERN1;ALDH18A1;DKC1;PREB;EIF2AK3;DNAJB9;ATF3;SPCS3;SSR1;DDIT4;SRPRA;DNAJA4;DCP1A;LSM4;EIF4G1;EIF4E;RRP9;DNAJC3;HSPA5;WIPI1;HERPUD1,top_efficacy
prerank,Myc Targets V2,-0.7381681176056893,-2.744103104571166,0.0,0.0,0.0,23/34,15.97%,HSPD1;CBX3;HSPE1;MYC;SRM;TBRG4;NOLC1;PA2G4;SUPV3L1;IMP4;HK2;DCTPP1;PUS1;NDUFAF4;CDK4;RRP9;PLK1;NIP7;AIMP2;DUSP2;PRMT3;MCM4;PPRC1,top_efficacy
prerank,Interferon Alpha Response,0.6275237839124518,2.447797451256157,0.0,0.0,0.0,53/90,14.09%,TAP1;TRAFD1;GBP4;ADAR;PARP9;SAMD9L;TRIM14;LY6E;PLSCR1;IFI30;PSME1;STAT2;SAMD9;IRF7;SELL;LAMP3;IRF1;MX1;EPSTI1;IFI44L;IFITM2;CD47;TMEM140;OAS1;CNP;UBE2L6;PARP14;CASP8;OGFR;TRIM21;NUB1;ISG20;IRF2;EIF2AK2;PARP12;GBP2;TXNIP;RTP4;PSMB9;USP18;TRIM5;MOV10;LPAR6;HELZ2;IL4R;HERC6;SP110;IL7;DHX58;CMTR1;IFI35;CMPK2;RIPK2,top_efficacy
prerank,Interferon Gamma Response,0.5299883466316047,2.285572075887358,0.0,0.0,0.0,74/172,14.09%,STAT1;NLRC5;SOCS3;TAP1;TRAFD1;GBP4;ADAR;XAF1;SAMD9L;TAPBP;TRIM14;LY6E;PLSCR1;IFNAR2;VAMP5;STAT3;MVP;IFI30;SAMHD1;PSME1;STAT2;SOCS1;IRF7;IRF1;OAS3;PML;MX1;EPSTI1;IFI44L;RNF213;FAS;IFITM2;EIF4E3;NCOA3;UBE2L6;PARP14;IL10RA;VAMP8;CASP8;SECTM1;GPR18;OGFR;TRIM21;ISG20;IRF2;EIF2AK2;PARP12;TXNIP;ZNFX1;RTP4;PSMB9;CDKN1A;USP18;STAT4;OAS2;TOR1B;HELZ2;MYD88;ZBP1;IL4R;JAK2;GZMA;HERC6;SP110;MX2;IL7;DHX58;CD38;CD274;CMTR1;LATS2;IFI35;CMPK2;RIPK2,top_efficacy
prerank,Oxidative Phosphorylation,-0.4028529455086924,-2.024035816150648,0.0,0.0,0.0,68/176,18.84%,CYCS;IMMT;NDUFV2;VDAC1;LDHB;SDHB;NDUFAB1;MTX2;FH;TIMM10;LRPPRC;HSPA9;FXN;ATP5F1B;TOMM22;DLAT;TIMM13;SUPV3L1;GOT2;TIMM50;DLD;ACAT1;PDHX;SLC25A4;ACADM;VDAC3;ETFA;MTRR;COX7A2L;SLC25A11;TOMM70;PDHA1;AFG3L2;UQCRQ;IDH3B;SLC25A3;NDUFS3;MDH2;COX17;VDAC2;NDUFS1;SLC25A5;MDH1;ACO2;OPA1;ABCB7;ETFDH;ATP6V0B;UQCRH;SUCLG1;ATP5F1C;ATP5MC3;TIMM8B;HCCS;UQCRFS1;NDUFS2;NDUFA5;ALAS1;NDUFB7;IDH3A;CYC1;NDUFS6;TIMM17A;ATP5F1D;GLUD1;NDUFB6;TIMM9;ATP5PB,top_efficacy
prerank,Glycolysis,-0.40059082624647546,-1.9472342372795914,0.0,0.00034611058233105475,0.001,55/142,17.43%,IER3;CTH;HAX1;SRD5A3;GFPT1;ME2;PGAM1;VEGFA;CITED2;FAM162A;STC2;SAP30;GOT2;DLD;GOT1;HK2;DDIT4;ENO1;FUT8;HMMR;COG2;AURKA;POLR3K;COPB2;CD44;PMM2;GMPPB;SLC35A3;GNE;P4HA1;DEPDC1;MDH2;HDLBP;BPNT1;HSPA5;FKBP4;MDH1;PGM2;GCLC;PGK1;PRPS1;ALDH9A1;AK4;P4HA2;SOD1;HOMER1;VLDLR;KIF2A;GMPPA;ANKZF1;PFKP;B4GALT2;NANP;XYLT2;CLN6,top_efficacy
prerank,E2F Targets,-0.38663891030728986,-1.9269541026114398,0.0,0.00029666621342661835,0.001,54/182,15.03%,EED;LYAR;MTHFD2;MYC;PAICS;EXOSC8;RFC1;NME1;CTPS1;RRM2;ANP32E;SSRP1;MAD2L1;CKS2;TBRG4;NOLC1;DDX39A;PA2G4;ASF1A;UBE2S;RAD50;NUDT21;NUP107;UBE2T;SMC4;HMMR;CSE1L;AURKA;SNRPB;DCTPP1;H2AZ1;CHEK1;CDK4;GSPT1;MCM6;DEPDC1;RFC3;PRKDC;NUP205;PLK1;RPA3;CNOT9;HUS1;CDC20;PRPS1;DUT;MYBL2;EZH2;SRSF2;TRIP13;MCM3;HNRNPD;DLGAP5;MCM4,top_efficacy
prerank,Apical Junction,0.4779166050469439,1.914270133018875,0.0,0.0,0.0,57/106,29.70%,FYB1;CNN2;EVL;CD99;RHOF;MYH9;MDK;ACTN4;LDLRAP1;PTPRC;ARHGEF6;PLCG1;LIMA1;RAC2;MAPK11;PBX2;ZYX;AKT3;ITGA3;NLGN2;CERCAM;TAOK2;MYH10;CD274;LAYN;CTNND1;TMEM8B;STX4;MSN;GNAI2;SORBS3;MYL9;GAMT;PKD1;ADAM15;EPB41L2;IRS1;ATP1A3;RRAS;SRC;DLG1;BAIAP2;NECTIN1;JAM3;MVD;AMIGO2;NF2;CRAT;CLDN5;AKT2;NEXN;FSCN1;PECAM1;CLDN15;MPZL2;NLGN3;WASL,top_efficacy
